direction_deg,initial_heading_error_deg,successful,best_burst_time_s,minimum_separation_m
0.0,-10.0,False,12.0,2035.4638329858356
45.0,-10.0,False,12.0,2243.738941182215
90.0,-10.0,False,12.0,2362.357438460478
135.0,-10.0,False,12.0,2319.821308063528
180.0,-10.0,False,12.0,2134.4035546452014
225.0,-10.0,False,12.0,1916.9861527561266
270.0,-10.0,True,16.5,2743.8860471634684
315.0,-10.0,False,12.0,1853.371101739287
0.0,-5.0,True,14.5,2573.768377029576
45.0,-5.0,True,14.5,2455.3715323242072
90.0,-5.0,True,15.0,2612.403213421626
135.0,-5.0,True,15.0,2630.5711977787637
180.0,-5.0,True,15.0,2762.349153144107
225.0,-5.0,True,15.0,2756.2693996684734
270.0,-5.0,True,14.5,2661.4260027440514
315.0,-5.0,True,14.5,2629.816334193299
0.0,0.0,False,12.0,71.35599999999948
45.0,0.0,False,13.0,77.42086737195169
90.0,0.0,False,13.5,74.47459633889243
135.0,0.0,False,13.5,68.08184781032938
180.0,0.0,False,12.0,70.52199999999976
225.0,0.0,False,13.5,68.08184781032998
270.0,0.0,False,13.5,74.47459633889318
315.0,0.0,False,13.0,77.42086737194978
0.0,5.0,True,14.5,2573.7683770296007
45.0,5.0,True,14.5,2629.8163341933096
90.0,5.0,True,14.5,2661.4260027440723
135.0,5.0,True,15.0,2756.2693996684548
180.0,5.0,True,15.0,2762.349153144105
225.0,5.0,True,15.0,2630.57119777875
270.0,5.0,True,15.0,2612.4032134216236
315.0,5.0,True,14.5,2455.3715323241477
0.0,10.0,False,12.0,2035.4638329858356
45.0,10.0,False,12.0,1853.37110173929
90.0,10.0,True,16.5,2743.886047163473
135.0,10.0,False,12.0,1916.9861527561293
180.0,10.0,False,12.0,2134.403554645204
225.0,10.0,False,12.0,2319.82130806353
270.0,10.0,False,12.0,2362.3574384604804
315.0,10.0,False,12.0,2243.7389411822173
